"Experiment","option","eps","rmse_original","rmse_modified","RMSE_Ratio","cost_original","cost_modified","Cost_Ratio","runtime_original","runtime_modified","Runtime_Ratio","efficiency_original","efficiency_modified","Efficiency_Ratio","Comparable_RMSE","Modified_Better","Previous_Modified_Better","price_original","price_modified","std_error_original","std_error_modified","Accuracy_Level"
"Asian Call | eps=1e-03","Asian Call","0.001","0.00103216259872291","0.000173687910762556","0.168275726108909","274291.333333333","273342.666666667","0.996541390297907","0.00308198605974515","0.00337370826552312","1.09465396667047","3.42209197961058","121.270003641216","35.4373886978384","False","False","True","0.058074740130458","0.0575777289019517","0.000583408245708493","0.000586937012630109","lowest accuracy target"
"Asian Call | eps=5e-04","Asian Call","0.0005","0.000224815536271505","0.000291777531493182","1.29785305914449","1291082.33333333","1277376","0.989383842548642","0.0115587772646298","0.0148007216242452","1.28047468044357","15.3247507737047","9.19554674374367","0.600045434965378","False","False","False","0.0576423361601752","0.0575544856573632","0.000310362740014779","0.000315618515419044","intermediate accuracy target 4/5"
"Asian Call | eps=2e-04","Asian Call","0.0002","0.000366249577407683","0.000225002172422641","0.61434111136785","3279027.66666667","3170763","0.966982691921985","0.0315631113480777","0.0356385693885386","1.12912092206363","2.27352981790465","6.22963778270832","2.74007305013036","False","False","True","0.0577519535670425","0.0576476376720124","0.000136817487523708","0.000139541647044304","intermediate accuracy target 3/5"
"Asian Call | eps=1e-04","Asian Call","0.0001","0.000215915550112967","0.000228045521590347","1.05617923985111","11606936.3333333","10427706.6666667","0.898403021021137","0.121137361352642","0.113058903176958","0.933311588716491","1.8480535678245","1.84403049319267","0.99782307466522","True","False","False","0.0576429515842401","0.0576491061003664","7.07796838240356E-05","7.79472172852223E-05","intermediate accuracy target 2/5"
"Asian Call | eps=5e-05","Asian Call","5E-05","0.000194399555569621","0.000228004532923561","1.17286550504435","58136934","35785760","0.615542608421696","0.618829555343837","0.360996277459587","0.583353322966303","0.455152927222245","0.537530105159017","1.18098791199589","True","True","True","0.0576192241219198","0.0576501580429097","3.53758062248484E-05","5.92955874001931E-05","highest accuracy target"
"European Call | eps=1e-03","European Call","0.001","0.000729824273845418","0.000695031827157528","0.952327638399077","303096.333333333","301509.333333333","0.994764040915485","0.00331198594843348","0.00397891737520695","1.20136903874514","6.19416414201515","6.86577954945022","1.10842712463486","True","True","True","0.104016651395467","0.103934215983063","0.000596583092846185","0.00060462478945167","lowest accuracy target"
"European Call | eps=5e-04","European Call","0.0005","0.000178547683065694","0.000399575723744782","2.23792164022517","503352.666666667","493902.666666667","0.981225886687796","0.00449047229873637","0.00631202796163658","1.40564901456196","62.318815261367","12.681202553696","0.203489146905484","False","False","False","0.104658499374941","0.104422060484528","0.000333368833879604","0.000337492959478333","intermediate accuracy target 4/5"
"European Call | eps=2e-04","European Call","0.0002","0.000115452976065613","0.000202459476052748","1.75360985010632","3697866","3675785","0.994028718185029","0.0286034306821724","0.0309867361405243","1.08332236383929","20.2879686823599","6.63702848592873","0.327141104653791","False","False","False","0.104514554818245","0.104499284930658","0.000139486228368095","0.000140502243237478","intermediate accuracy target 3/5"
"European Call | eps=1e-04","European Call","0.0001","8.73668474563294E-05","0.000100883986403285","1.15471702757402","14229605","9518775","0.66894161854809","0.116707096962879","0.080134347314015","0.686627886387263","9.2069084666652","10.322252271253","1.12114205421136","True","True","True","0.104423462407517","0.104490804328931","7.07728520261338E-05","0.000111761032778344","intermediate accuracy target 2/5"
"European Call | eps=5e-05","European Call","5E-05","2.99029940404028E-05","0.000202421074294747","6.7692577546332","56895107.3333333","28512746.6666667","0.50114584545237","0.460880236234516","0.211182861045624","0.458216353061763","19.6560265630212","0.855952162963502","0.0435465509887843","False","False","False","0.104517797199567","0.104564434149165","3.54123765132024E-05","0.000103891833970494","highest accuracy target"
