name,price,std_error,reference_type,sample_var,n_paths,n_steps,cost,runtime
european,0.10450583572185568,0.0,Black-Scholes closed form,,,,,
asian,0.058193568774679516,0.00036018983034941327,fine-grid Euler MC,0.006486835694356955,50000.0,1024.0,51200000.0,0.590053199994145
