method,option,option_key,eps,price,reference,abs_error,std_error,rmse_proxy,runtime,cost,L,N_l,n_paths,n_steps,converged,rep,level_means,level_vars,allocation_rounds_by_L
Original Giles MLMC,Asian Call,asian,5e-05,0.05759662576841461,0.057427662839515906,0.00016896292889870268,3.538619705011958e-05,0.00017262866008776743,0.7005492909811437,58015761,4.0,"[12549771, 3946518, 590910, 96464, 19369]",17203032,,True,2,"[0.051000558149496854, 0.006063891019158184, 0.0004754803177059618, 4.167614805269315e-05, 1.5020134000918038e-05]","[0.004024206659836775, 0.0015906812816882624, 0.0001428296356168033, 1.524113147972951e-05, 2.4938420208016643e-06]",
Modified MLMC,Asian Call,asian,5e-05,0.05769189863954073,0.057427662839515906,0.0002642358000248257,5.9266180667131264e-05,0.00027080073520141843,0.3820695001631975,35696620,4.0,"[2010000, 1610000, 590079, 96294, 19161]",4325534,,True,2,"[0.05108285883592231, 0.0060432372549863375, 0.0005104824567136551, 3.85578049568459e-05, 1.676228696158554e-05]","[0.0040237206112178495, 0.0015848536984411658, 0.00014285866101967774, 1.521857820999395e-05, 2.41628227669881e-06]","[8, 8, 8, 8, 8]"
Standard MC,Asian Call,asian,0.0001,0.057579502160723085,0.057427662839515906,0.00015183932120717974,7.059674668008075e-05,0.0001674487387425435,201.7102690418251,20893810688,,[1275257],1275257,16384.0,True,2,,,
Original Giles MLMC,Asian Call,asian,0.0001,0.0576453204628342,0.057427662839515906,0.00021765762331829586,7.07541254705804e-05,0.00022886893030657482,0.12880362523719668,11593747,3.0,"[2815112, 883011, 132159, 21505]",3851787,,True,2,"[0.05101806101116105, 0.0060442164755109655, 0.0005124277531039882, 7.061522305818992e-05]","[0.004028081091419531, 0.0015838537866900047, 0.0001415266158646184, 1.5283400776852605e-05]",
Modified MLMC,Asian Call,asian,0.0001,0.057579643482311954,0.057427662839515906,0.0001519806427960485,7.795065753420936e-05,0.00017080521301973098,0.10896654240787029,10460925,3.0,"[1610000, 888209, 132906, 21897]",2653012,,True,2,"[0.05098630915703756, 0.006009890346746922, 0.0005382418963093814, 4.520208221809698e-05]","[0.00402127789928073, 0.001594634635900251, 0.00014270424281965144, 1.5537160787275533e-05]","[8, 8, 8, 8]"
Standard MC,Asian Call,asian,0.0002,0.057836644394775615,0.057427662839515906,0.000408981555259709,0.00013882950627152729,0.00043190223934849704,53.710127458907664,5421596672,,[330908],330908,16384.0,True,2,,,
Original Giles MLMC,Asian Call,asian,0.0002,0.05789338619043592,0.057427662839515906,0.0004657233509200165,0.0001368485565568029,0.00048541298604780787,0.030189292039722204,3267843,3.0,"[704698, 220285, 33086, 10000]",968069,,True,2,"[0.05101724409229404, 0.006203474254662525, 0.0005609469979923342, 0.00011172084548702232]","[0.004029185482289479, 0.0015764891575513775, 0.00014334920237522525, 1.5207085612522297e-05]",
Modified MLMC,Asian Call,asian,0.0002,0.05760223897208696,0.057427662839515906,0.00017457613257105403,0.00013946954352277058,0.000223447039886225,0.03915233304724097,3169682,3.0,"[671177, 212765, 31734, 10000]",925676,,True,2,"[0.051011307330892715, 0.0060751421811898335, 0.000495405133938631, 2.038432606578275e-05]","[0.004018104651016418, 0.0015842668251600082, 0.0001425225484348843, 1.527849291464719e-05]","[7, 7, 5, 3]"
Standard MC,Asian Call,asian,0.0005,0.05704695686506818,0.057427662839515906,0.0003807059744477259,0.00035845549855384164,0.0005229028431971619,2.110130792018026,198770688,,[48528],48528,4096.0,True,2,,,
Original Giles MLMC,Asian Call,asian,0.0005,0.057733556755235636,0.057427662839515906,0.00030589391571973074,0.00031003418821626315,0.000435536778627554,0.011109415907412767,1292405,3.0,"[113350, 35811, 10000, 10000]",169161,,True,2,"[0.05117119047947611, 0.006054232975988465, 0.00043317848958512856, 7.495481018593473e-05]","[0.004029696444716008, 0.0016013083995297158, 0.00014304930510091566, 1.5498048387772755e-05]",
Modified MLMC,Asian Call,asian,0.0005,0.05786897565630306,0.057427662839515906,0.00044131281678715106,0.00031544161747726584,0.0005424577553112161,0.013024082873016596,1276437,3.0,"[108102, 33667, 10000, 10000]",161769,,True,2,"[0.05137806632791733, 0.006017132107165586, 0.00043133313465224806, 4.2444086567893386e-05]","[0.004053940621903506, 0.0015733890568250739, 0.00013712739845100154, 1.555738919530722e-05]","[5, 5, 4, 3]"
Standard MC,Asian Call,asian,0.001,0.05804820100935409,0.057427662839515906,0.000620538169838182,0.0007039963548831288,0.0009384447175592458,0.22538958303630352,13110272,,[12803],12803,1024.0,True,2,,,
Original Giles MLMC,Asian Call,asian,0.001,0.05896023982712628,0.057427662839515906,0.0015325769876103762,0.0005854253894342487,0.0016405837709629878,0.0031498330645263195,274385,2.0,"[24385, 10000, 10000]",44385,,True,2,"[0.051371660622483384, 0.007050982424199911, 0.0005375967804429885]","[0.004058155685948388, 0.001617696514204126, 0.0001453307171480155]",
Modified MLMC,Asian Call,asian,0.001,0.057698812469174236,0.057427662839515906,0.0002711496296583307,0.0005849943285799919,0.0006447794088947053,0.003668791614472866,273242,2.0,"[23242, 10000, 10000]",43242,,True,2,"[0.051167368707184656, 0.00593961775552831, 0.0005918260064612728]","[0.004016125346364495, 0.0015529190827048489, 0.00014130425464340256]","[1, 5, 4]"
