method,option,option_key,eps,price,reference,abs_error,std_error,rmse_proxy,runtime,cost,L,N_l,n_paths,n_steps,converged,rep,level_means,level_vars,allocation_rounds_by_L
Standard MC,Asian Call,asian,0.0001,0.057684570526571805,0.057427662839515906,0.00025690768705589895,7.027325447027072e-05,0.00026634543352994645,188.52370462496765,21143568384,,[1290501],1290501,16384.0,True,0,,,
Original Giles MLMC,Asian Call,asian,0.0001,0.05762173684104775,0.057427662839515906,0.0001940740015318465,7.079693565752527e-05,0.00020658393976560457,0.11681783385574818,11618476,3.0,"[2819111, 884437, 132615, 21561]",3857724,,True,0,"[0.051053681683913874, 0.00601338654924712, 0.0005031310283664413, 5.153757952031912e-05]","[0.004033774624242826, 0.0015889265379130863, 0.00014285834981106802, 1.5255639151398557e-05]",
Modified MLMC,Asian Call,asian,0.0001,0.05771269346130162,0.057427662839515906,0.0002850306217857118,7.796169045537752e-05,0.0002955003900745473,0.11120354221202433,10431100,3.0,"[1610000, 885684, 132698, 21734]",2650116,,True,0,"[0.05102247118887851, 0.006119026650146315, 0.0004964896930565582, 7.470592922023416e-05]","[0.00402886069025148, 0.001589380451664167, 0.00014262303147726706, 1.5350940299303874e-05]","[8, 8, 8, 8]"
Standard MC,Asian Call,asian,0.0002,0.05767930289220481,0.057427662839515906,0.0002516400526889062,0.00014189101739936298,0.0002888871352897214,47.67494475003332,5191106560,,[316840],316840,16384.0,True,0,,,
Original Giles MLMC,Asian Call,asian,0.0002,0.05784993528517251,0.057427662839515906,0.0004222724456566032,0.00013681745747630292,0.00044388403331398267,0.031757666962221265,3278703,3.0,"[704803, 221888, 33223, 10000]",969914,,True,0,"[0.05098277831337567, 0.006306397228052424, 0.00048378083305465337, 7.697891068975637e-05]","[0.004020936409151533, 0.001596976588779002, 0.0001429552519012453, 1.513847169821567e-05]",
Modified MLMC,Asian Call,asian,0.0002,0.057712878701871015,0.057427662839515906,0.0002852158623551093,0.00013950278862064023,0.0003175045136244581,0.03988529206253588,3177721,3.0,"[672031, 213310, 31957, 10000]",927298,,True,0,"[0.05104386089789698, 0.006060094690250948, 0.000533309428720249, 7.561368500283178e-05]","[0.004014314673878357, 0.00158773362147033, 0.0001436100540476053, 1.550452774510691e-05]","[7, 7, 5, 3]"
Standard MC,Asian Call,asian,0.0005,0.05811374076854031,0.057427662839515906,0.0006860779290244062,0.0003485227668212043,0.0007695265061627999,2.1817264170385897,215027712,,[52497],52497,4096.0,True,0,,,
Original Giles MLMC,Asian Call,asian,0.0005,0.05761782535071624,0.057427662839515906,0.00019016251120033273,0.0003103291107696309,0.0003639587032303068,0.010167208034545183,1291354,3.0,"[113254, 35620, 10000, 10000]",168874,,True,0,"[0.0510347229459327, 0.0058843075456031105, 0.0006443468710182273, 5.444798816220415e-05]","[0.004026234391333253, 0.0015937427921393222, 0.0001446451837166525, 1.546236223433406e-05]",
Modified MLMC,Asian Call,asian,0.0005,0.05722578459482924,0.057427662839515906,0.00020187824468666238,0.0003157403589311143,0.0003747623245948248,0.010575666092336178,1276544,3.0,"[107394, 33830, 10000, 10000]",161224,,True,0,"[0.05064974669173254, 0.006047957267784027, 0.0004160679422629621, 0.00011201269304971695]","[0.003992411207456312, 0.0015827479832080454, 0.00014144802763064475, 1.5864679881708365e-05]","[5, 5, 4, 3]"
Standard MC,Asian Call,asian,0.001,0.05710968956039328,0.057427662839515906,0.00031797327912262696,0.0007058575219483067,0.0007741717170802614,0.1520575829781592,12999680,,[12695],12695,1024.0,True,0,,,
Original Giles MLMC,Asian Call,asian,0.001,0.05701401485378986,0.057427662839515906,0.00041364798572604555,0.0005839805833555713,0.0007156381612459806,0.003807875094935298,274346,2.0,"[24346, 10000, 10000]",44346,,True,0,"[0.05024313017359536, 0.006074391344292396, 0.0006964933359021061]","[0.004004841520429574, 0.0016245566693466364, 0.0001408075508795661]",
Modified MLMC,Asian Call,asian,0.001,0.05753899487353497,0.057427662839515906,0.00011133203401906405,0.0005896868511505428,0.0006001044944163178,0.0037657080683857203,273628,2.0,"[23628, 10000, 10000]",43628,,True,0,"[0.05112021004547078, 0.005974655827368572, 0.0004441290006956173]","[0.004037920267980675, 0.0016232747140221759, 0.00014507552020643456]","[1, 5, 4]"
Standard MC,European Call,european,5e-05,0.10445805001792176,0.10450583572185568,4.7785703933919677e-05,3.520946938844489e-05,5.935638327152409e-05,8993.61282499996,1144950095872,,[17470552],17470552,65536.0,True,1,,,
Original Giles MLMC,European Call,european,5e-05,0.10450645612862813,0.10450583572185568,6.204067724557838e-07,3.5402845920982985e-05,3.540828157180423e-05,0.4516775000374764,56896981,3.0,"[25549666, 2124831, 516626, 129883]",28321006,,True,1,"[0.10209606180213826, 0.0021017833260179733, 0.00027428927794431436, 3.432172252758476e-05]","[0.016120121175372034, 0.00044586686446623487, 0.00010597031627069512, 2.6947134052455034e-05]",
Modified MLMC,European Call,european,5e-05,0.10431491106978469,0.10450583572185568,0.00019092465207098952,0.00010386975117843971,0.00021735028865474133,0.20447754207998514,28474300,3.0,"[1610000, 1210000, 518487, 130557]",3469044,,True,1,"[0.10194213913705985, 0.0020531931178674728, 0.0002906747597350943, 2.890405512225875e-05]","[0.01611674000592972, 0.00044293610829154387, 0.00010622443899386436, 2.710244771388219e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0001,0.10449532780719849,0.10450583572185568,1.0507914657190143e-05,6.989508384250527e-05,7.068054198853904e-05,594.1512115420774,72646443008,,[4433987],4433987,16384.0,True,1,,,
Original Giles MLMC,European Call,european,0.0001,0.10439371559912593,0.10450583572185568,0.00011212012272975025,7.066223489734411e-05,0.00013252951883117094,0.11422829097136855,14245839,3.0,"[6388084, 527903, 128828, 33021]",7077836,,True,1,"[0.10203110119873816, 0.0020722543521504103, 0.00028301742793945556, 7.342620297891481e-06]","[0.01609999397128032, 0.0004404126656694974, 0.00010474094431922646, 2.7260069232453842e-05]",
Modified MLMC,European Call,european,0.0001,0.10442018037664158,0.10450583572185568,8.565534521409734e-05,0.00011176317128730001,0.00014081137958254846,0.09109512506984174,9527720,3.0,"[1610000, 533064, 130412, 33052]",2306528,,True,1,"[0.10189633273787081, 0.002149547493947529, 0.0003179078736037199, 5.63922712195262e-05]","[0.01610039710225607, 0.0004461727172687509, 0.00010684952206166025, 2.7579927511332205e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0002,0.10436234516641549,0.10450583572185568,0.00014349055544018996,0.0001411726536336884,0.0002012939582662917,145.60264800000004,17806966784,,[1086851],1086851,16384.0,True,1,,,
