eps,price,std_error,variance,L,M,N_l,level_means,level_vars,level_costs,total_cost,eps2_cost,bias_indicator,bias_tolerance,converged
5e-05,0.057586710780586726,3.5343659274296536e-05,1.2491742508975675e-09,4,4,"[12561686, 3945404, 590499, 96818, 19628]","[0.05100230536066144, 0.006060445536580192, 0.00046207394441845665, 7.136338439693166e-05, -9.477445470295638e-06]","[0.004025267144533072, 0.0015891194412324845, 0.00014236103153811088, 1.529354630694615e-05, 2.490970904794503e-06]","[1, 5, 20, 80, 320]",58125086,0.145312715,1.7840846099232915e-05,0.00010606601717798214,True
0.0001,0.05758084039773206,7.072758792539911e-05,5.002391693745063e-09,3,4,"[2811490, 884482, 131617, 21483]","[0.05095269702073196, 0.006073754682621203, 0.0005007831828429449, 5.360551153594581e-05]","[0.004019940591128606, 0.0015916790858322644, 0.00014100238633975678, 1.5074555783554504e-05]","[1, 5, 20, 80]",11584880,0.1158488,0.00012519579571073622,0.00021213203435596428,True
0.0002,0.05726960229566634,0.00013678738437148254,1.8710788523191704e-08,3,4,"[698846, 219460, 32403, 10000]","[0.05071968021381527, 0.006065610984023683, 0.0004285534005076185, 5.575769731977488e-05]","[0.004000254509127162, 0.0015829946739953989, 0.00013824304042984076, 1.5072018819579974e-05]","[1, 5, 20, 80]",3244206,0.12976824,0.00010713835012690463,0.00042426406871192855,True
0.0005,0.05750008517452265,0.0003105715016771976,9.645465765402954e-08,3,4,"[112239, 35122, 10000, 10000]","[0.05080579539531639, 0.006117248177243702, 0.00048086724592603654, 9.617435603651419e-05]","[0.004017944039028522, 0.0015774677883768004, 0.00014224349804089136, 1.518247072073155e-05]","[1, 5, 20, 80]",1287849,0.32196225,0.00012021681148150913,0.0010606601717798212,True
0.001,0.05762309903712279,0.000581331029401263,3.379457657447321e-07,2,4,"[24060, 10000, 10000]","[0.05137076928101206, 0.005738812573125282, 0.0005135171829854518]","[0.0040657159235688795, 0.001546258825190033, 0.00014337509012558373]","[1, 5, 20]",274060,0.27405999999999997,0.0014347031432813205,0.0021213203435596424,True
