eps,price,std_error,variance,L,M,N_l,level_means,level_vars,level_costs,total_cost,eps2_cost,bias_indicator,bias_tolerance,converged,pilot_samples,min_samples,damping,batch_cap,allocation_tol,max_allocation_rounds,allocation_rounds_by_L,target_history_by_L
0.002,0.10314458318336256,0.0011390267362425708,1.297381905875403e-06,2,4,"[12923, 10000, 10000]","[0.10081234159479273, 0.0020828678757645997, 0.00024937371280523226]","[0.016079388731757804, 0.0004259321731648929, 0.00010542868566821701]","[1, 5, 20]",262923,1.0516919999999998,0.0005207169689411499,0.004242640687119285,True,10000,10000,0.5,50000,0.05,8,"[1, 2, 4]","[[[10000]], [[10657, 10000], [10686, 10000]], [[13294, 10000, 10000], [13293, 10000, 10000], [13293, 10000, 10000], [13261, 10000, 10000]]]"
0.001,0.10339248677051424,0.0006046920654200036,3.656524939819099e-07,2,4,"[51599, 10000, 10000]","[0.10123062716320232, 0.0018926259299801697, 0.00026923367733175645]","[0.01601959810129064, 0.00044710877246001543, 0.00010478272460037932]","[1, 5, 20]",301599,0.301599,0.0004731564824950424,0.0021213203435596424,True,10000,10000,0.5,50000,0.05,8,"[5, 4, 4]","[[[32157], [32228], [32035], [32010], [32151]], [[42875, 10000], [42852, 10000], [42832, 10000], [42843, 10000]], [[53221, 10000, 10000], [53109, 10000, 10000], [53007, 10000, 10000], [53110, 10000, 10000]]]"
0.0005,0.1041125860023358,0.00033755808142202744,1.1394545833332009e-07,2,4,"[208940, 17588, 10000]","[0.10181266521468035, 0.002064989802335294, 0.00023493098532015395]","[0.0160689653642996, 0.00045571027026340016, 0.00011128082900069222]","[1, 5, 20]",496880,0.12422,0.0005162474505838235,0.0010606601717798212,True,10000,10000,0.5,50000,0.05,8,"[6, 5, 4]","[[[128627], [128302], [128305], [128605], [128818], [128817]], [[170775, 13907], [171653, 14297], [171288, 14244], [172020, 14545], [172300, 14661]], [[215090, 18302, 10000], [214576, 18040, 10000], [214634, 18051, 10000], [214640, 18074, 10000]]]"
