eps,price,std_error,variance,L,M,N_l,level_means,level_vars,level_costs,total_cost,eps2_cost,bias_indicator,bias_tolerance,converged,pilot_samples,min_samples,damping,batch_cap,allocation_tol,max_allocation_rounds,allocation_rounds_by_L,target_history_by_L
5e-05,0.05763616965592134,5.93164982476072e-05,3.5184469643583883e-09,4,4,"[2010000, 1610000, 590782, 96798, 19704]","[0.05104604145225394, 0.006029366323070123, 0.0004676001723546814, 7.523057943343565e-05, 1.793112880915812e-05]","[0.004030186663544117, 0.001586675432653141, 0.00014236050425965987, 1.5290540221171122e-05, 2.540501507895389e-06]","[1, 5, 20, 80, 320]",35924760,0.0898119,1.8807644858358912e-05,0.00010606601717798214,True,10000,10000,0.5,50000,0.05,8,"[8, 8, 8, 8, 8]","[[[3289893], [3252899], [3221571], [3210807], [3203517], [3201708], [3210121], [3216093]], [[7285554, 2300368], [7269358, 2285617], [7262775, 2282425], [7259469, 2279272], [7270251, 2283197], [7268941, 2283222], [7267345, 2280572], [7264878, 2278088]], [[9686914, 3036629, 455949], [9668867, 3033577, 451010], [9681357, 3039533, 453100], [9681508, 3040271, 453655], [9685966, 3039579, 455119], [9688095, 3039628, 455296], [9684181, 3038085, 454497], [9688758, 3038694, 454621]], [[11286297, 3539059, 530204, 87413], [11280653, 3537648, 530420, 86870], [11284987, 3540171, 530473, 87226], [11278439, 3537741, 530027, 87023], [11280686, 3539474, 530169, 87170], [11278362, 3539443, 530203, 87038], [11282176, 3540524, 530372, 87070], [11286005, 3542860, 530535, 87076]], [[12569647, 3946725, 590827, 96945, 19554], [12573221, 3947646, 591108, 96862, 19687], [12573541, 3947162, 591004, 96854, 19703], [12572370, 3946957, 590918, 96858, 19685], [12577275, 3946774, 591106, 96834, 19757], [12574602, 3947900, 591017, 96831, 19743], [12575859, 3947915, 591032, 96847, 19751], [12576474, 3946481, 591011, 96831, 19741]]]"
0.0001,0.057652451737977374,7.79596959707038e-05,6.0777141958445695e-09,3,4,"[1610000, 882266, 131627, 21635]","[0.051087157979400694, 0.006072207942029823, 0.00044305300238268867, 5.0032814164168366e-05]","[0.004033000446391719, 0.0015837966947652546, 0.00014094117684900102, 1.5292409916967722e-05]","[1, 5, 20, 80]",10384670,0.1038467,0.00011076325059567217,0.00021213203435596428,True,10000,10000,0.5,50000,0.05,8,"[8, 8, 8, 8]","[[[822474], [813225], [805393], [802702], [800880], [800427], [802531], [804024]], [[1821389, 575092], [1817340, 571405], [1815694, 570607], [1814868, 569818], [1817563, 570800], [1817236, 570806], [1816837, 570143], [1816220, 569522]], [[2421729, 759158, 113988], [2417217, 758395, 112753], [2420283, 759866, 113262], [2419812, 759703, 113045], [2419282, 759616, 113273], [2419607, 759186, 113188], [2420368, 758827, 113205], [2419856, 758476, 113213]], [[2819342, 883621, 131890, 21816], [2814741, 882470, 131482, 21586], [2816816, 882923, 131632, 21662], [2816459, 882623, 131625, 21626], [2817466, 883125, 131746, 21670], [2816177, 882818, 131677, 21665], [2816308, 882920, 131700, 21668], [2817179, 882990, 131710, 21695]]]"
0.0002,0.057436545964168514,0.0001396207294897574,1.9493948103252012e-08,3,4,"[673118, 213253, 32024, 10000]","[0.05093697030565152, 0.006020702966067206, 0.0004507033474986045, 2.8169344951180715e-05]","[0.004024862149707302, 0.0015917648153916928, 0.00014513176389671618, 1.5183408671090988e-05]","[1, 5, 20, 80]",3179863,0.12719452,0.00011267583687465112,0.00042426406871192855,True,10000,10000,0.5,50000,0.05,8,"[7, 7, 5, 3]","[[[205619], [203307], [201349], [200927], [200666], [200519], [200466]], [[451153, 141045], [452538, 141923], [453567, 142148], [453748, 142491], [453964, 142556], [453938, 142561], [454176, 142614]], [[607441, 190740, 28904], [606169, 190497, 28541], [607016, 190678, 28694], [607320, 190738, 28837], [607386, 190689, 28850]], [[706308, 221746, 33549, 10000], [706018, 221874, 33476, 10000], [706097, 222024, 33521, 10000]]]"
0.0005,0.057314386401056065,0.0003160144160491335,9.986511115087484e-08,3,4,"[108130, 33414, 10000, 10000]","[0.05113936044938119, 0.00589446834572833, 0.00027341500606317573, 7.142599883371786e-06]","[0.0040539717110004364, 0.0015599850511223304, 0.00014121105596474496, 1.5657892518284816e-05]","[1, 5, 20, 80]",1275200,0.3188,6.835375151579393e-05,0.0010606601717798212,True,10000,10000,0.5,50000,0.05,8,"[5, 5, 4, 3]","[[[32899], [33382], [33157], [33023], [33031]], [[73282, 22326], [72637, 22244], [72482, 22261], [72365, 22283], [72410, 22314]], [[96622, 29775, 10000], [96901, 29898, 10000], [96944, 29924, 10000], [96922, 29921, 10000]], [[113069, 34905, 10000, 10000], [112966, 34952, 10000, 10000], [113005, 35050, 10000, 10000]]]"
0.001,0.05739576690510337,0.0005918700055999664,3.5031010352890433e-07,2,4,"[23587, 10000, 10000]","[0.05065525853903676, 0.006189524154158034, 0.0005509842119085712]","[0.004028533955824465, 0.0016574630077049808, 0.00013769129598425559]","[1, 5, 20]",273587,0.27358699999999997,0.0015473810385395084,0.0021213203435596424,True,10000,10000,0.5,50000,0.05,8,"[1, 5, 4]","[[[10000]], [[18668, 10000], [18663, 10000], [18674, 10000], [18540, 10000], [18496, 10000]], [[24478, 10000, 10000], [24431, 10000, 10000], [24323, 10000, 10000], [24352, 10000, 10000]]]"
