eps,price,std_error,variance,L,M,N_l,level_means,level_vars,level_costs,total_cost,eps2_cost,bias_indicator,bias_tolerance,converged
5e-05,0.1044695373469153,3.531522364418658e-05,1.247165021038915e-09,3,4,"[25634072, 2126252, 521583, 132763]","[0.10200588900435656, 0.002105815994652292, 0.00028756628691606025, 7.026606099039877e-05]","[0.01610809414923877, 0.00044380366474997506, 0.00010663426596043626, 2.7297348127611993e-05]","[1, 5, 20, 80]",57318032,0.14329508,7.189157172901506e-05,0.00010606601717798214,True
0.0001,0.10448509386305797,7.09046931405579e-05,5.027475509356679e-09,3,4,"[6381814, 528590, 130465, 32024]","[0.1020426300248496, 0.0020744407367221116, 0.00028706945578151554, 8.095364570474488e-05]","[0.016112026630453045, 0.0004445017194234819, 0.00010721583842490178, 2.6902720412812844e-05]","[1, 5, 20, 80]",14195984,0.14195984,8.095364570474488e-05,0.00021213203435596428,True
0.0002,0.10466059323861474,0.00013934318019462753,1.9416521866752437e-08,3,4,"[1604159, 133939, 32795, 10000]","[0.10204630980204879, 0.0021438995216833748, 0.00037776283589804107, 9.26210789845384e-05]","[0.016102140375286966, 0.00045031112000871505, 0.00010674998487814622, 2.761645851740838e-05]","[1, 5, 20, 80]",3729754,0.14919016000000002,9.444070897451027e-05,0.00042426406871192855,True
0.0005,0.10480440968389901,0.0003328452278622934,1.1078594571070202e-07,2,4,"[215619, 18750, 10000]","[0.10205603662303814, 0.002510980071833369, 0.00023739298902750018]","[0.016105519445195914, 0.0004759855681947098, 0.0001070570619538448]","[1, 5, 20]",509369,0.12734225,0.0006277450179583423,0.0010606601717798212,True
0.001,0.10495796098384892,0.0005975862380388478,3.5710931189342255e-07,2,4,"[53400, 10000, 10000]","[0.10237351442518988, 0.0021485528357123008, 0.00043589372294673543]","[0.01609947992592894, 0.00045312495516603834, 0.00010308428250808557]","[1, 5, 20]",303400,0.3034,0.0005371382089280752,0.0021213203435596424,True
